GPA,Number_Of_Professional_Connections,Earnings,Major,Graduation_Year,Number_Of_Credits,Number_Of_Parking_Tickets
2.5,1,9756.15,STEM,2001,124,1
2.98,1,9709.03,STEM,2001,120,0
2.98,23,9711.37,STEM,1996,120,1
3.35,5,9656.15,STEM,2008,124,1
2.47,37,9751.92,STEM,1981,123,0
2.75,2,9728.3,STEM,2000,121,0
1.66,17,9847.59,STEM,2001,121,0
2.59,10,9743.36,STEM,1990,123,0
1.89,7,9793.38,STEM,1975,121,1
1.89,22,9810.38,STEM,1997,122,0
2.8,39,9714.16,STEM,1972,120,1
2.29,16,9788.13,STEM,1968,120,0
2.39,4,9754.4,STEM,1999,122,0
3.61,4,9632.89,STEM,1999,125,1
2.68,58,9723.8,STEM,1971,127,0
2.54,10,9744.99,STEM,2000,120,1
3.12,40,9683.94,STEM,1969,121,0
2.84,3,9724.78,STEM,2012,120,1
3.2,12,9680.16,STEM,1973,126,1
3.22,39,9672.4,STEM,2002,121,0
2.2,18,9789.88,STEM,1987,120,4
2.37,42,9759.22,STEM,1984,127,2
2.12,29,9789.74,STEM,1970,120,0
2.67,9,9735.45,STEM,2006,125,2
2.78,57,9733.46,STEM,1990,123,0
3.16,2,9683.66,STEM,1966,121,0
2.25,38,9775.83,STEM,1970,121,3
2.32,28,9756.04,STEM,2015,122,1
2.23,17,9782.68,STEM,1963,126,1
2.45,81,9754.81,STEM,1978,121,1
1.29,11,9872.46,STEM,2012,120,2
2.2,11,9785.62,STEM,1966,122,1
2.21,6,9805.64,STEM,1982,122,2
2.42,5,9744.88,STEM,2015,123,0
2.17,10,9787.94,STEM,2000,121,0
2.68,17,9726.18,STEM,1993,120,2
2.28,33,9789.26,STEM,1985,124,0
2.45,15,9768.68,STEM,1972,123,8
2.88,8,9709.82,STEM,1988,127,0
2.1,24,9799.52,STEM,2002,125,1
1.3,7,9849.86,STEM,1988,122,3
1.45,9,9852.54,STEM,1961,120,0
2.78,12,9721.61,STEM,1999,125,0
2.44,1,9752.05,STEM,1968,120,0
